,ReportedFraud
21540,0
3588,1
19310,0
5803,0
2411,0
25586,0
9496,0
15718,1
3178,0
26915,0
8892,1
23733,0
6294,0
11155,0
3726,0
5144,1
22307,0
8159,0
4879,0
22936,0
28687,1
24577,0
11909,0
10485,1
19103,0
14494,1
3227,0
765,0
14756,1
15078,0
4769,0
27126,0
19504,0
13345,0
23150,1
27821,0
13920,0
13312,1
12476,0
25618,1
6906,1
11387,1
24004,0
12205,0
18232,1
20861,1
23775,1
15356,0
9960,0
20516,0
5916,0
26277,0
17294,1
15558,1
5615,0
4116,0
23301,1
9877,0
3743,0
8,0
3423,0
12100,0
13023,0
25315,0
25341,0
15366,0
12759,0
3630,0
12900,0
7338,0
10811,0
12506,1
12614,1
485,1
18315,0
834,1
19252,0
7171,1
26177,0
25996,1
6236,0
6112,0
2106,0
133,0
28046,1
12086,1
11239,0
7994,0
9044,0
8688,0
4340,0
6019,0
23679,0
24217,0
14851,0
10312,0
20277,1
19825,1
17575,0
15927,1
1459,0
1447,0
14387,0
948,0
28062,0
25380,0
15261,1
25565,1
16282,0
11590,0
2475,0
24682,0
20589,0
25446,0
6661,0
23850,0
187,0
5079,0
7305,1
13320,0
6620,0
7611,0
13081,1
17034,0
13083,0
24686,0
8180,0
15324,0
5284,0
13227,1
15831,1
20071,0
23854,0
19011,0
13793,0
15548,0
4577,0
8523,0
1813,0
16553,1
27340,0
6346,0
14191,1
6814,1
26949,0
5463,1
25974,0
10001,0
10131,1
5496,1
10122,0
7333,0
9321,0
7464,0
19222,0
4691,0
5622,0
27549,0
21685,0
10575,1
25478,0
19675,0
1270,0
3737,1
20756,0
22171,0
26189,0
17607,0
2461,0
1446,0
26419,1
27901,0
4801,0
21262,0
11483,0
27092,0
20031,0
17530,1
27664,0
18421,0
13048,0
27511,0
13660,0
15694,0
9500,0
3416,0
2952,0
19548,0
9147,0
10665,0
22182,0
20503,0
19596,0
3059,0
25359,0
28335,0
6171,0
3710,0
8216,0
18278,0
19515,1
16521,0
4051,0
26602,0
20840,0
1429,0
6789,1
18817,0
2680,1
27291,0
8428,0
8895,0
15454,0
10999,0
28293,1
20476,1
27788,1
21389,0
5,0
2357,1
4512,0
14992,1
27202,0
23951,0
14799,0
5436,0
28677,0
17230,1
13732,0
22657,0
17023,1
22969,1
4489,1
20474,0
13924,0
96,0
26112,0
26275,0
3547,1
4366,0
1555,1
12738,0
21577,1
25139,0
19802,0
2266,0
2305,0
5655,0
4917,0
14844,0
6754,0
25561,0
6109,1
16477,1
21519,0
14445,1
23012,0
22240,1
13325,0
27952,0
27440,1
28408,1
622,0
20203,1
17882,0
1102,0
12418,1
4370,0
20065,0
7093,0
16431,0
13400,0
3448,0
15899,0
2099,1
12509,0
11175,0
28092,0
14247,0
15889,0
14389,1
20599,0
1208,0
20218,0
23953,0
27700,0
26134,0
2079,0
525,1
27263,0
27946,1
930,0
10347,0
406,0
3382,0
19175,0
13219,1
19029,0
9481,0
5366,1
27533,0
17584,0
7674,0
4003,1
12827,0
21835,0
22259,0
18117,0
1189,0
2672,0
18497,1
19190,1
5344,0
24627,0
6007,0
396,0
27054,0
2636,0
15512,0
23548,0
27471,0
15968,0
6686,0
26506,1
1511,1
7936,0
11328,0
21735,0
18611,0
2460,0
8388,0
27308,0
15018,0
17200,0
16967,0
17900,0
16550,1
27576,0
3942,0
19922,1
9689,0
17526,1
10321,0
26422,0
14318,0
15995,0
8227,1
11161,0
16586,0
17973,0
27926,1
25980,1
8999,0
20813,0
9088,0
15850,0
28796,1
14963,1
28241,0
21893,0
386,0
8532,0
967,0
4597,1
15961,0
21077,0
7283,1
24710,0
7934,1
643,0
11607,1
26351,0
22230,0
25580,0
2563,0
25053,1
23886,0
6026,0
22126,0
23230,1
1155,0
24515,0
14162,1
20806,0
28660,1
11949,0
23986,1
14197,1
12242,0
23461,0
9119,1
20108,0
17587,1
15415,1
4501,0
2351,0
24768,0
15134,0
6673,1
7077,0
3680,0
24517,1
1711,0
5202,0
20640,0
6653,0
16443,1
13255,0
15019,1
25632,0
20706,0
16271,0
7509,0
22538,0
14397,0
1027,0
25914,1
19655,0
6860,1
2101,0
4911,0
22870,0
13913,0
2309,0
21243,0
4744,0
348,1
9188,0
4330,0
28637,1
20206,1
9204,0
27666,0
13818,1
25121,0
8302,0
1040,0
7594,0
11955,1
22836,1
22406,0
1901,0
7959,0
1356,0
27039,0
10516,0
17389,0
24488,0
9577,0
15802,0
21737,1
10260,1
10728,0
8240,1
12261,1
15473,1
16819,0
4388,0
19388,1
25555,0
24895,0
3813,0
11058,0
5349,1
20814,0
16985,0
17441,0
24162,0
16177,0
10331,0
10029,0
20510,0
19194,0
23542,1
24337,0
550,0
28182,0
18870,0
17869,0
11082,0
10286,1
7903,0
26810,0
5537,0
19056,1
13945,0
15113,0
2950,0
2751,0
18360,0
9040,1
18566,0
20999,0
28327,1
25367,1
18950,0
7556,0
17761,0
2499,0
20919,0
28600,0
4101,0
21980,1
18798,0
8461,0
26436,0
14668,0
18779,0
964,1
5816,0
408,1
23626,0
12862,1
5082,0
15174,0
14438,0
28153,1
3501,1
27106,1
13035,1
2279,0
28570,1
7483,0
27561,0
8352,0
9318,0
21915,0
23007,0
4135,0
2203,0
2989,0
26567,1
1414,0
24764,1
8716,0
14897,0
27233,0
10010,0
12445,0
20869,1
1681,0
27611,0
1566,0
80,0
27276,1
28010,1
26088,1
13643,1
12414,0
20881,0
4325,1
16402,1
1453,0
28169,0
25204,0
17408,1
5918,0
18461,1
14546,0
4585,1
7210,1
4168,0
18118,1
20470,0
26061,0
17824,0
3366,0
5032,0
5095,0
27506,0
18585,0
18449,0
20879,0
21067,0
14586,0
11327,0
8888,1
16439,0
3750,0
14603,0
15883,0
4311,0
20547,1
19227,0
8147,0
27896,0
6298,1
153,0
10872,0
27325,0
3508,0
25534,0
17569,0
4357,1
22088,0
16337,0
18588,1
25829,0
6457,0
22067,0
13193,0
18804,0
15167,0
6470,1
13247,0
11361,1
26851,0
18916,0
21115,1
22526,1
21635,0
10369,0
23797,1
23486,0
4109,0
17010,0
26309,0
14037,0
21894,0
25387,0
8436,1
4205,0
25727,0
1613,1
18876,0
9879,0
21257,0
23999,0
22038,1
4300,0
24536,1
15582,0
10894,0
12238,0
22615,0
11641,0
16240,0
1770,0
11091,0
13386,1
13222,1
12587,0
13600,0
4927,0
4295,0
13466,0
5654,1
4170,0
22496,0
23260,0
8518,0
5758,0
24486,0
23534,0
15388,0
18596,1
18,1
6849,1
28295,1
8484,1
21733,0
9742,0
13836,1
2755,1
8954,1
10432,0
21605,0
14114,1
20845,0
19528,1
14742,1
13343,0
25237,0
8141,1
9221,0
8763,0
15194,0
22944,0
20979,1
27402,0
15975,0
28544,0
